racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card,Salary,full_name,Age,Height,Weight
58.0,George,Martin,England,Back row,23.0,1.98,118.0,2017.0,Leicester,Premiership,6.0,3.0,0.0,3.0,6.0,2.0,10.0,425.0,champions cup,2.0,1.0,0.0,1.0,2.0,1.0,5.0,144.0,14.0,8.0,0.0,6.0,9.0,0.0,0.0,788.0,1,0,170000,George Martin,,,
59.0,Kwagga,Smith,South Africa,Back row,31.0,1.8,97.0,2014.0,Lions Rugby,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,4.0,3.0,15.0,524.0,0,0,400000,Kwagga Smith,,,
60.0,Pita,Ahki, Tonga,Center,31.0,1.89,101.0,2011.0,Stade Toulousain,top14,16.0,12.0,0.0,4.0,15.0,4.0,20.0,1063.0,champions cup,8.0,8.0,0.0,0.0,8.0,3.0,15.0,523.0,6.0,3.0,0.0,3.0,6.0,1.0,5.0,470.0,1,0,300000,Pita Ahki,,,
61.0,Mack,Hansen,Ireland,Fullback,26.0,1.88,89.0,2018.0,Connacht Rugby,United Rugby Championship,3.0,1.0,0.0,2.0,3.0,0.0,0.0,233.0,champions cup,1.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,7.0,6.0,0.0,1.0,6.0,3.0,15.0,419.0,0,0,275000,Mack Hansen,,,
62.0,Tommy,Freeman,England,Fullback,23.0,1.88,102.0,2019.0,Northampton Saints,Premiership,16.0,12.0,0.0,4.0,14.0,5.0,25.0,1148.0,champions cup,7.0,6.0,0.0,1.0,7.0,4.0,20.0,560.0,8.0,4.0,0.0,4.0,8.0,2.0,10.0,622.0,0,0,170000,Tommy Freeman,,,
63.0,Jack,Crowley,Ireland,Fly,24.0,1.85,90.0,2020.0,Munster Rugby,United Rugby Championship,14.0,10.0,0.0,4.0,13.0,2.0,115.0,942.0,champions cup,5.0,1.0,1.0,3.0,5.0,0.0,32.0,400.0,14.0,11.0,0.0,3.0,9.0,1.0,92.0,780.0,0,0,275000,Jack Crowley,,,
64.0,Sione,Tuipulotu,Scotland,Center,27.0,1.78,104.0,2015.0,Glasgow Warriors,United Rugby Championship,15.0,11.0,0.0,4.0,15.0,1.0,5.0,1101.0,champions cup,4.0,2.0,0.0,2.0,4.0,1.0,5.0,310.0,11.0,7.0,0.0,4.0,11.0,0.0,0.0,772.0,2,0,200000,Sione Tuipulotu,,,
65.0,James,Ryan,Ireland,Secondrow,28.0,2.01,115.0,2017.0,Leinster Rugby,United Rugby Championship,5.0,3.0,0.0,2.0,5.0,0.0,0.0,271.0,champions cup,5.0,4.0,0.0,1.0,3.0,0.0,0.0,337.0,11.0,10.0,0.0,1.0,6.0,0.0,0.0,461.0,1,0,275000,James Ryan,,,
66.0,Gael,Fickou,France,Center,30.0,1.9,100.0,2006.0,Racing 92,top14,15.0,8.0,0.0,7.0,14.0,2.0,10.0,1119.0,champions cup,5.0,1.0,0.0,4.0,5.0,0.0,0.0,377.0,11.0,8.0,1.0,2.0,11.0,3.0,15.0,860.0,0,0,600000,Gael Fickou,,,
67.0,Jamie,George,England,Hooker,33.0,1.83,114.0,2013.0,Saracens,Premiership,13.0,8.0,0.0,5.0,9.0,4.0,20.0,639.0,champions cup,3.0,1.0,0.0,2.0,3.0,2.0,10.0,167.0,13.0,9.0,0.0,4.0,12.0,0.0,0.0,870.0,0,0,170000,Jamie George,,,
68.0,Reiko,Ioane,New Zealand,Center,27.0,1.89,103.0,2015.0,Blues,Super Rugby Pacific,12.0,10.0,0.0,2.0,12.0,0.0,0.0,830.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,4.0,9.0,1.0,5.0,616.0,0,0,250000,Reiko Ioane,,,
69.0,Canan,Moodie,South Africa,Winger,21.0,1.91,92.0,2021.0,Bulls,United Rugby Championship,12.0,9.0,0.0,3.0,11.0,9.0,45.0,887.0,champions cup,2.0,2.0,0.0,0.0,2.0,1.0,5.0,150.0,5.0,5.0,0.0,0.0,5.0,4.0,20.0,400.0,2,0,225000,Canan Moodie,,,
70.0,Ollie,Lawrence,England,Center,24.0,1.8,100.0,2017.0,Bath Rugby,Premiership,12.0,9.0,0.0,3.0,12.0,4.0,20.0,950.0,champions cup,5.0,3.0,0.0,2.0,5.0,2.0,10.0,396.0,16.0,9.0,0.0,7.0,9.0,3.0,15.0,802.0,1,0,170000,Ollie Lawrence,,,
71.0,Taniela,Tupou,Australia,Prop,28.0,1.78,135.0,2015.0,Melbourne Rebels,Super Rugby Pacific,14.0,5.0,0.0,9.0,6.0,1.0,5.0,544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,6.0,1.0,5.0,306.0,0,0,140000,Taniela Tupou,,,
72.0,Henry,Slade,England,Center,31.0,1.94,98.0,2013.0,Exeter Chiefs,Premiership,16.0,9.0,0.0,7.0,16.0,5.0,152.0,1262.0,champions cup,6.0,4.0,0.0,2.0,6.0,1.0,49.0,480.0,8.0,4.0,0.0,5.0,8.0,1.0,9.0,597.0,1,0,170000,Henry Slade,,,
73.0,Faf,de-Klerk,South Africa,Scrum,32.0,1.73,88.0,2013.0,Canon Eagles,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,7.0,0.0,0.0,6.0,0,0,900000,Faf de-Klerk,,,
74.0,Ethan,de-Groot,New Zealand,Prop,26.0,1.9,128.0,2018.0,Highlanders,Super Rugby Pacific,12.0,4.0,0.0,8.0,11.0,1.0,5.0,577.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,4.0,8.0,2.0,10.0,496.0,0,1,250000,Ethan de-Groot,,,
75.0,Sevu,Reece,New Zealand,Winger,27.0,1.79,98.0,2018.0,Crusaders,Super Rugby Pacific,13.0,3.0,0.0,10.0,13.0,12.0,60.0,1030.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,4.0,2.0,10.0,268.0,1,0,250000,Sevu Reece,,,
76.0,Paolo,Garbisi,Italy,Fly,24.0,1.84,97.0,2018.0,Rugby Club Toulonnais,top14,18.0,8.0,0.0,10.0,10.0,1.0,39.0,937.0,Challenge Cup,3.0,2.0,0.0,1.0,3.0,0.0,11.0,222.0,15.0,8.0,1.0,5.0,15.0,2.0,83.0,1172.0,0,0,350000,Paolo Garbisi,,,
77.0,Charles,Ollivon,France,Backrow,31.0,1.99,114.0,2004.0,Rugby Club Toulonnais,top14,12.0,8.0,0.0,4.0,11.0,1.0,5.0,841.0,champions cup,2.0,0.0,0.0,2.0,0.0,0.0,0.0,160.0,11.0,8.0,1.0,2.0,11.0,4.0,20.0,785.0,1,0,500000,Charles Ollivon,,,
78.0,Ben,Tameifuna,Tonga,Prop,32.0,1.88,151.0,2011.0,Union Bordeaux-B�gles,top14,22.0,13.0,0.0,9.0,12.0,1.0,5.0,918.0,champions cup,5.0,3.0,0.0,2.0,3.0,0.0,0.0,226.0,9.0,4.0,0.0,6.0,8.0,2.0,10.0,249.0,1,0,350000,Ben Tameifuna,,,
79.0,Tommy,Reffell,Wales,Backrow ,25.0,1.83,100.0,2017.0,Leicester,Premiership,12.0,7.0,0.0,5.0,12.0,5.0,25.0,806.0,champions cup,2.0,1.0,0.0,1.0,0.0,0.0,0.0,110.0,11.0,2.0,0.0,9.0,10.0,0.0,0.0,764.0,1,0,170000,Tommy Reffell,,,
80.0,Immanuel,Feyi-Waboso,England,Winger,21.0,1.83,89.0,2018.0,Exeter Chiefs,Premiership,14.0,8.0,0.0,6.0,13.0,10.0,50.0,993.0,champions cup,4.0,3.0,0.0,1.0,4.0,0.0,0.0,250.0,7.0,4.0,0.0,3.0,4.0,4.0,20.0,304.0,1,0,170000,Immanuel Feyi-Waboso,,,
81.0,Marcus,Smith,England,FlyHalf ,25.0,1.75,82.0,2017.0,Harlequins,Premiership,13.0,6.0,0.0,7.0,12.0,3.0,88.0,966.0,champions cup,7.0,5.0,0.0,2.0,7.0,4.0,85.0,553.0,14.0,8.0,0.0,6.0,7.0,5.0,59.0,659.0,1,0,400000,Marcus Smith,,,
82.0,Rory,Darge,Scotland,Backrow,24.0,1.86,102.0,2019.0,Glasgow Warriors,United Rugby Championship,14.0,9.0,0.0,5.0,13.0,1.0,5.0,829.0,champions cup,2.0,0.0,0.0,2.0,2.0,0.0,0.0,160.0,15.0,9.0,0.0,6.0,12.0,4.0,20.0,916.0,0,0,200000,Rory Darge,,,
83.0,Steven,Kitshoff,South Africa,Prop,32.0,1.83,126.0,2010.0,Ulster Rugby,United Rugby Championship,8.0,3.0,0.0,5.0,5.0,0.0,0.0,369.0,champions cup,4.0,1.0,0.0,3.0,4.0,0.0,0.0,264.0,9.0,8.0,0.0,1.0,7.0,0.0,0.0,394.0,0,0,225000,Steven Kitshoff,,,
84.0,Manie,Libbok,South Africa,Fly,27.0,1.8,80.0,2017.0,Stormers,United Rugby Championship,12.0,9.0,0.0,3.0,12.0,0.0,111.0,949.0,champions cup,4.0,3.0,0.0,1.0,4.0,1.0,42.0,320.0,10.0,9.0,0.0,8.0,0.0,0.0,60.0,536.0,0,0,225000,Manie Libbok,,,
85.0,Ronan,Kelleher,Ireland,Hooker,26.0,1.85,106.0,2018.0,Leinster Rugby�,United Rugby Championship,10.0,8.0,0.0,2.0,7.0,2.0,10.0,428.0,champions cup,8.0,7.0,0.0,1.0,0.0,0.0,0.0,203.0,12.0,9.0,0.0,3.0,3.0,1.0,5.0,387.0,1,0,275000,Ronan Kelleher,,,
86.0,Michelle,Lamaro,Italy,Backrow,26.0,1.88,103.0,2018.0,Benetton Rugby Tr�vise,United Rugby Championship,12.0,9.0,0.0,3.0,11.0,1.0,5.0,764.0,Challenge Cup,4.0,2.0,0.0,2.0,3.0,0.0,0.0,276.0,15.0,8.0,1.0,6.0,14.0,2.0,10.0,1049.0,2,0,200000,Michelle Lamaro,,,
87.0,Jack,Conan,Ireland,Backrow,32.0,1.93,111.0,2013.0,Leinster Rugby,United Rugby Championship,9.0,6.0,0.0,3.0,5.0,2.0,10.0,402.0,champions cup,7.0,6.0,0.0,1.0,0.0,1.0,5.0,152.0,8.0,6.0,0.0,2.0,2.0,1.0,5.0,252.0,1,0,275000,Jack Conan,,,
88.0,Julian,Marchand,France,Hooker,29.0,1.81,110.0,2005.0,Stade Toulousain,top14,9.0,6.0,0.0,3.0,6.0,2.0,10.0,422.0,champions cup,6.0,6.0,0.0,0.0,0.0,0.0,0.0,176.0,8.0,6.0,1.0,1.0,5.0,0.0,0.0,297.0,1,0,350000,Julian Marchand,,,
89.0,Louis,Bielle-Biarrey,France,Winger,21.0,1.85,84.0,2008.0,Union Bordeaux-B�gles,top14,15.0,9.0,0.0,6.0,12.0,5.0,25.0,1004.0,champions cup,5.0,3.0,0.0,2.0,5.0,6.0,30.0,388.0,11.0,8.0,0.0,3.0,9.0,6.0,30.0,751.0,0,0,200000,Louis Bielle-Biarrey,,,
90.0,Zander,Fagerson,Scotland,Prop,28.0,1.88,125.0,2014.0,Glasgow Warriors,United Rugby Championship,16.0,11.0,0.0,5.0,12.0,0.0,0.0,864.0,champions cup,5.0,2.0,0.0,3.0,4.0,0.0,0.0,278.0,9.0,4.0,0.0,5.0,8.0,1.0,5.0,560.0,1,1,200000,Zander Fagerson,,,
91.0,Duhan,van-der-Merwe,Scotland,Winger,29.0,1.93,106.0,2015.0,Edimbourg Rugby,United Rugby Championship,12.0,6.0,0.0,6.0,12.0,3.0,15.0,942.0,Challenge Cup,5.0,3.0,0.0,2.0,5.0,4.0,20.0,401.0,13.0,7.0,0.0,6.0,11.0,11.0,55.0,1020.0,3,0,200000,Duhan van-der-Merwe,,,
92.0,George,Furbank,England,Fullback,27.0,1.82,93.0,2017.0,Northampton Saints,Premiership,13.0,11.0,0.0,2.0,13.0,4.0,51.0,1040.0,champions cup,6.0,5.0,0.0,1.0,5.0,2.0,10.0,410.0,5.0,2.0,0.0,3.0,5.0,4.0,10.0,327.0,1,0,170000,George Furbank,,,
93.0,Fletcher,Newell, New Zealand,Prop,24.0,1.86,119.0,2019.0,Crusaders,Super Rugby Pacific,12.0,3.0,0.0,9.0,11.0,0.0,0.0,669.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,1.0,1.0,5.0,399.0,0,0,250000,Fletcher Newell,,,
94.0,Jac,Morgan,Wales,Backrow,24.0,1.82,104.0,2018.0,Ospreys,United Rugby Championship,6.0,3.0,0.0,3.0,4.0,0.0,0.0,375.0,Challenge Cup,1.0,1.0,0.0,0.0,1.0,0.0,0.0,80.0,7.0,5.0,0.0,2.0,7.0,2.0,10.0,560.0,0,0,200000,Jac Morgan,,,
95.0,Alex,Mitchell,England,Scrumhalf,27.0,1.8,83.0,2015.0,Northampton Saints,Premiership,12.0,10.0,0.0,2.0,10.0,7.0,35.0,798.0,champions cup,7.0,6.0,0.0,1.0,6.0,3.0,15.0,435.0,13.0,8.0,0.0,5.0,13.0,2.0,10.0,808.0,0,0,170000,Alex Mitchell,,,
96.0,Tom,Wright,Australia,Fullback,27.0,1.86,100.0,2018.0,Brumbies,Super Rugby Pacific,16.0,13.0,0.0,3.0,16.0,10.0,50.0,1274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,6.0,2.0,10.0,400.0,0,0,140000,Tom Wright,,,
97.0,Uluoano,Seuteni,Samoa,Center,30.0,1.85,100.0,2012.0,Stade Rochelais,top14,17.0,9.0,1.0,7.0,17.0,3.0,15.0,1235.0,champions cup,6.0,3.0,0.0,3.0,6.0,3.0,15.0,461.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,198.0,1,0,300000,Uluoano Seuteni,,,
98.0,Dewi,Lake,Wales,Hooker,25.0,1.85,114.0,2017.0,Ospreys,United Rugby Championship,10.0,5.0,0.0,5.0,8.0,2.0,10.0,566.0,Challenge Cup,3.0,2.0,0.0,1.0,3.0,4.0,20.0,124.0,8.0,3.0,0.0,5.0,7.0,5.0,25.0,421.0,0,0,200000,Dewi Lake,,,
99.0,Uini,Antonio,France,Prop,34.0,1.97,147.0,2011.0,Stade Rochelais,top14,15.0,10.0,1.0,4.0,10.0,1.0,5.0,708.0,champions cup,6.0,3.0,0.0,3.0,6.0,0.0,0.0,341.0,12.0,9.0,1.0,2.0,11.0,1.0,5.0,573.0,1,1,350000,Uini Antonio,,,
100.0,Maro,Itoje,England,Lock,28.0,1.98,115.0,2013.0,Saracens,Premiership,14.0,9.0,0.0,5.0,13.0,1.0,10.0,900.0,Champions Cup,6.0,4.0,0.0,2.0,6.0,0.0,0.0,400.0,12.0,10.0,0.0,2.0,11.0,1.0,5.0,560.0,1,0,750000,Maro Itoje,,,
101.0,Brodie,Retallick,New Zealand,Lock,33.0,1.99,120.0,2008.0,Chiefs,Super Rugby Pacific,12.0,8.0,0.0,4.0,11.0,0.0,0.0,850.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,4.0,12.0,2.0,10.0,420.0,1.0,0,0,700000,Brodie Retallick,,,
102.0,Johnny,Sexton,Ireland,Flyhalf,38.0,1.85,92.0,2006.0,Leinster,United Rugby Championship,10.0,6.0,0.0,4.0,9.0,3.0,25.0,640.0,Champions Cup,5.0,3.0,0.0,2.0,5.0,1.0,5.0,300.0,12.0,10.0,0.0,2.0,11.0,5.0,50.0,900.0,1,0,700000,Johnny Sexton,,,
103.0,Jonathan,Davies,Wales,Centre,34.0,1.88,105.0,2010.0,Scarlets,United Rugby Championship,14.0,9.0,0.0,5.0,13.0,4.0,20.0,760.0,Champions Cup,6.0,4.0,0.0,2.0,6.0,1.0,5.0,420.0,8.0,6.0,0.0,2.0,7.0,2.0,10.0,430.0,0,0,400000,Jonathan Davies,,,
104.0,Manu,Tuilagi,England,Centre,33.0,1.88,110.0,2010.0,Sale,Premiership,12.0,8.0,0.0,4.0,11.0,6.0,30.0,660.0,Champions Cup,5.0,3.0,0.0,2.0,4.0,1.0,5.0,240.0,7.0,5.0,0.0,2.0,6.0,4.0,20.0,620.0,1,0,500000,Manu Tuilagi,,,
105.0,Sam,Cane,New Zealand,Backrow,31.0,1.88,110.0,2012.0,Chiefs,Super Rugby Pacific,12.0,7.0,0.0,5.0,11.0,2.0,10.0,700.0,Champions Cup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,11.0,3.0,15.0,400.0,0,0,400000,Sam Cane,,,
106.0,Jacques,Vermeulen,South Africa,Backrow,33.0,1.95,110.0,2011.0,Sharks,United Rugby Championship,14.0,9.0,0.0,5.0,13.0,3.0,15.0,820.0,Champions Cup,6.0,4.0,0.0,2.0,6.0,1.0,5.0,420.0,11.0,9.0,0.0,2.0,10.0,2.0,10.0,500.0,2,0,350000,Jacques Vermeulen,,,
107.0,Jamie,Ritchie,Scotland,Backrow,28.0,1.95,110.0,2015.0,Edinburgh,United Rugby Championship,12.0,8.0,0.0,4.0,10.0,1.0,5.0,560.0,Champions Cup,5.0,3.0,0.0,2.0,5.0,0.0,0.0,320.0,10.0,7.0,0.0,3.0,9.0,1.0,5.0,250.0,0,0,300000,Jamie Ritchie,,,
108.0,Beauden,Barrett,New Zealand,Flyhalf,31.0,1.87,92.0,2010.0,Blues,Super Rugby Pacific,12.0,7.0,0.0,5.0,11.0,3.0,30.0,700.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,11.0,4.0,20.0,600.0,1.0,0,0,600000,Beauden Barrett,,,
109.0,Conor,Murray,Ireland,Scrumhalf,33.0,1.88,95.0,2011.0,Leinster,United Rugby Championship,14.0,9.0,0.0,5.0,12.0,2.0,10.0,820.0,Champions Cup,7.0,5.0,0.0,2.0,6.0,1.0,5.0,420.0,15.0,12.0,0.0,3.0,13.0,2.0,10.0,700.0,1,0,600000,Conor Murray,,,
110.0,Liam,Williams,Wales,Fullback,32.0,1.83,91.0,2011.0,Saracens,Premiership,10.0,6.0,0.0,4.0,8.0,2.0,10.0,560.0,Champions Cup,5.0,3.0,0.0,2.0,5.0,1.0,5.0,300.0,9.0,7.0,0.0,2.0,7.0,2.0,10.0,420.0,1,0,325000,Liam Williams,,,
